,H100,H101,H102,H103,H104,H105,H106,H107,H108,H109,H110,H111,H112,H113,H114,H115,H116,H117,H118,H119,H120,H121,H122,H123,H124,H125,H126,H127,H128,H129,H130,H131,H132,H133,H134,H135,H136,H137,H138,H139,H140,H141,H142,H143,H144,H145,H146,H147,H148,H149,H150,H151,H152,H153,H154,H155,H156,H157,H158,H159,H160,H161,H162,H163,H164,H165,H166,H167,H168,H169,H170,H171,H172,H173,H174,H175,H176,H177,H178,H179,H180,H041,H042,H043,H044,H045,H046,H047,H048,H049,H050,H051,H052,H053,H054,H055,H056,H057,H058,H059,H060,H061,H062,H063,H064,H065,H066,H067,H068,H069,H070,H071,H072,H073,H074,H075,H076,H077,H078,H079,H080,H081,H082,H083,H084,H085,H086,H087,H088,H089,H090,H091,H092,H093,H094,H095,H096,H097,H098,H099,taxonomy,otu,old name,new_name,acc,%id,,,,,taxonomy,acc,%identity
Otu3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Holozoa;Ichthyosporea,Otu3011,Eukaryota;Opisthokonta;Holozoa;Ichthyosporea,d__Eukaryota; sg__Opisthokonta; p__Mesomycetozoa; c__Ichthyosporea; o__Rhynosporida; f__Rhynosporidae_Desmocystidianae; g__Amphibiocystidium; s__Amphibiocystidium+ranae,AY550245,91.62,,,,Otu57,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Colpodellidae; f__Colpodellidae_X; g__Colpodellidae_XX; s__Colpodellidae_XX+sp.,KC487603,96.57
Otu2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Alveolata,Otu2970,Eukaryota;SAR;Alveolata,#N/A,#N/A,#N/A,,,,Otu69,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Colpodellidae; f__Colpodellidae_X; g__Colpodellidae_XX; s__Colpodellidae_XX+sp.,GU067926,88.89
Otu484,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,5,1,1,3,0,2,1,0,3,5,0,68,1,1,0,0,3,2,1,0,3,0,0,0,0,0,2,1,2,2,0,0,3,0,1,0,0,0,0,0,5,2,0,1,0,0,0,4,0,2,0,1,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes,Otu484,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes,#N/A,#N/A,#N/A,,,,Otu153,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Colpodellidae; f__Colpodellidae_X; g__Colpodellidae_XX; s__Colpodellidae_XX+sp.,KC487603,96.57
Otu408,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,6,0,0,4,2,3,3,1,1,2,3,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,2,7,3,0,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,4,4,9,0,0,Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Prasinophytae,Otu408,Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Prasinophytae,#N/A,#N/A,#N/A,,,,Otu379,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp._strain8,EF024723,90.91
Otu3077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,Eukaryota;SAR;Rhizaria;Cercozoa,Otu3077,Eukaryota;SAR;Rhizaria;Cercozoa,#N/A,#N/A,#N/A,,,,Otu513,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Piroplasmida; f__Theileria-group; g__Theileria; s__Theileria+sp.,JQ861974,95.43
Otu523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,1,0,12,1,2,0,1,0,1,0,1,1,4,3,7,0,0,0,0,0,0,0,7,0,3,0,2,0,0,0,4,2,3,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Litostomatea;Haptoria,Otu523,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Litostomatea;Haptoria,d__Eukaryota; sg__Alveolata; p__Ciliophora; c__Litostomatea; o__Haptoria; f__Litonotidae; g__Loxophyllum; s__Loxophyllum+utriculariae,L26448,97.14,,,,Otu554,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,EF024854,96.57
Otu1860,0,0,0,1,0,9,0,0,0,2,1,0,1,3,0,2,1,0,0,2,0,1,0,2,4,1,0,1,0,1,0,0,3,0,3,3,3,1,0,2,2,1,1,0,2,3,2,2,0,1,2,3,2,2,1,2,1,0,0,1,1,1,1,6,0,3,4,3,2,2,0,3,2,0,3,0,0,3,6,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae,Otu1860,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae,#N/A,#N/A,#N/A,,,,Otu604,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,EF024854,94.86
Otu583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,3,7,8,1,4,0,4,2,2,6,9,3,3,2,2,0,3,0,0,11,7,4,3,10,6,8,0,2,1,0,11,4,2,0,4,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Acanthamoeba,Otu583,Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Acanthamoeba,d__Eukaryota; sg__Amoebozoa; p__Lobosa; c__Lobosa_X; o__Centramoebida; f__Acanthamoebidae; g__Acanthamoeba; s__Acanthamoeba+sp.,KF928939,99.38,,,,Otu618,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp.,AY179988,91.33
Otu2215,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita,Otu2215,Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Sandonidae; g__Sandona; s__Sandona+aporians,AY965867,97.67,,,,Otu663,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Novel-Apicomplexa-Class-2; f__Novel-Apicomplexa-Class-2_X; g__Novel-Apicomplexa-Class-2_XX; s__Novel-Apicomplexa-Class-2_XX+sp.,JX535339,100
Otu288,0,0,0,0,0,0,0,0,0,15,0,0,1,1,9,0,0,0,0,0,1,0,0,0,1,0,107,0,0,0,0,0,0,1,1,0,0,1,115,2,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita,Otu288,Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Sandonidae; g__Sandona; s__Sandona+afra,EU709162,93.14,,,,Otu786,d__Eukaryota; sg__Alveolata; p__Apicomplexa; c__Apicomplexa_X; o__Gregarines; f__Gregarines_X; g__Gregarines_XX; s__Gregarines_XX+sp._strain8,EF024723,99.43
